name,location,total_price,Nbr_of_nights,Nbr_of_persons,room_type,beds,rating,rating_title,number_of_ratings,distance_from_centre,start_date,end_date,breakfast_inclusion,free_cancellation,url
Yellow Lemon Tree - Appartement Centre Gares,Lille Centre, 2422,30,2,Standard Apartment,1 large double bed,9,Superb,59 reviews,800 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/yellow-lemon-tree-appartement-centre-gares.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=370329701_240620764_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=141&highlighted_blocks=370329701_240620764_2_0_0&hpos=16&no_rooms=1&sr_order=price&sr_pri_blocks=370329701_240620764_2_0_0__242249&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Chat Qui Dort - Vieux Lille II,Vieux Lille, 2432,30,2,Apartment with Shower,1 large double bed,9.2,Superb,107 reviews,1.2 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-chat-qui-dort-vieux-lille-ii.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=494935702_269045065_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=142&highlighted_blocks=494935702_269045065_2_0_0&hpos=17&no_rooms=1&sr_order=price&sr_pri_blocks=494935702_269045065_2_0_0__243190&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Apartment Lille - Proche métro - Stationnement gratuit,Fives, 2450,30,2,Two-Bedroom Apartment,"3 beds(1 sofa bed, 2 large doubles)",8.8,Fabulous,57 reviews,1.6 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/apartment-standing-lille.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=412158001_259774265_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=143&highlighted_blocks=412158001_259774265_2_0_0&hpos=18&no_rooms=1&sr_order=price&sr_pri_blocks=412158001_259774265_2_0_0__245000&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Appartement Lille/1ch/stationnement gratuit,Fives, 2450,30,2,One-Bedroom Apartment,"2 beds(1 sofa bed, 1 large double)",8.7,Fabulous,25 reviews,1.6 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/appartement-lille-47-1ch-47-stationnement-gratuit.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=438013301_239529076_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=144&highlighted_blocks=438013301_239529076_2_0_0&hpos=19&no_rooms=1&sr_order=price&sr_pri_blocks=438013301_239529076_2_0_0__244999&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
70 m2 avec Balcons et Parking,Vauban, 2450,30,2,One-Bedroom Apartment,"2 beds(1 sofa bed, 1 large double)",7.8,Good,8 reviews,2.3 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/70-m2-avec-balcons-et-parking.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=597178702_266348512_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=145&highlighted_blocks=597178702_266348512_2_0_0&hpos=20&no_rooms=1&sr_order=price&sr_pri_blocks=597178702_266348512_2_0_0__245000&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming studio close to train stations near Old Lille Welkeys,Lille Centre, 2470,30,2,Studio,"3 beds(1 sofa bed, 2 large doubles)",5,Review score,3 reviews,500 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-studio-close-to-train-stations-near-old-lille-welkeys.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=654160202_267047177_6_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=146&highlighted_blocks=654160202_267047177_6_0_0&hpos=21&no_rooms=1&sr_order=price&sr_pri_blocks=654160202_267047177_6_0_0__247049&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming and cosy T2 VIEUX LILLE,Vieux Lille, 2513,30,2,Apartment,1 double bed,,,,1.3 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-and-cosy-t2-vieux-lille.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=625590302_270860272_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=147&highlighted_blocks=625590302_270860272_2_0_0&hpos=22&no_rooms=1&sr_order=price&sr_pri_blocks=625590302_270860272_2_0_0__251250&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Chat Qui Dort,Vieux Lille, 2517,30,2,Apartment,1 large double bed,9.2,Superb,229 reviews,800 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-chat-qui-dort.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=209847601_269043792_0_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=148&highlighted_blocks=209847601_269043792_0_0_0&hpos=23&no_rooms=1&sr_order=price&sr_pri_blocks=209847601_269043792_0_0_0__251656&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Duplex Standing Naoli Opera,Vieux Lille, 2550,30,2,One-Bedroom Apartment,1 double bed,,,,250 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/duplex-standing-naoli-opera.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=655029701_268130111_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=149&highlighted_blocks=655029701_268130111_2_0_0&hpos=24&no_rooms=1&sr_order=price&sr_pri_blocks=655029701_268130111_2_0_0__255000&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
LA CABANE Lille Centre,Wazemmes, 2550,30,2,One-Bedroom Apartment,1 large double bed,10,Exceptional,3 reviews,950 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/la-cabane-lille.en-gb.html?aid=356980&sid=191ab70bf2059a082def85de5ad88ecd&all_sr_blocks=651418301_266135210_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=150&highlighted_blocks=651418301_266135210_2_0_0&hpos=25&no_rooms=1&sr_order=price&sr_pri_blocks=651418301_266135210_2_0_0__255000&srepoch=1605067171&srpvid=cda01c11c55f0006&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
LITTLE PLAZA Appart'Hotel,Vieux Lille, 2576,30,2,Superior Studio,1 large double bed,8.9,Fabulous,121 reviews,800 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-plaza-apartment.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=173316302_214357085_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=151&highlighted_blocks=173316302_214357085_2_0_0&hpos=1&no_rooms=1&sr_order=price&sr_pri_blocks=173316302_214357085_2_0_0__257584&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 3pers,Lille Centre, 2590,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,750 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/euralille-superbe-appartement-avec-vue.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641879702_265477891_3_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=152&highlighted_blocks=641879702_265477891_3_0_0&hpos=2&no_rooms=1&sr_order=price&sr_pri_blocks=641879702_265477891_3_0_0__259038&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2590,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,350 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-grand-place-superbe-appartement-cosy.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=642548702_265477936_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=153&highlighted_blocks=642548702_265477936_4_0_0&hpos=3&no_rooms=1&sr_order=price&sr_pri_blocks=642548702_265477936_4_0_0__259038&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Central Lille Nice functional and cozy ap for 4pers - with view,Vieux Lille, 2590,30,2,Apartment,"2 beds(1 double, 1 sofa bed)",,,,200 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/grand-place-superbe-appart-60m2-avec-vue.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641702102_265481279_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=154&highlighted_blocks=641702102_265481279_4_0_0&hpos=4&no_rooms=1&sr_order=price&sr_pri_blocks=641702102_265481279_4_0_0__259038&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming flat at the heart of Old Lille close to stations - Welkeys,Vieux Lille, 2597,30,2,Apartment,"3 beds(2 singles, 1 extra-large double)",9.2,Superb,4 reviews,550 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-flat-at-the-heart-of-old-lille-close-to-stations-welkeys.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=596704702_265506245_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=155&highlighted_blocks=596704702_265506245_4_0_0&hpos=5&no_rooms=1&sr_order=price&sr_pri_blocks=596704702_265506245_4_0_0__259678&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
ROYALE APARTMENTS VIEUX LILLE 24H24H Access,Vieux Lille, 2616,30,2,Superior Studio,1 double bed,8.3,Very good,181 reviews,550 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/spacieux-2-studio-vieux-lille.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=204441201_264422266_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=156&highlighted_blocks=204441201_264422266_2_0_0&hpos=6&no_rooms=1&sr_order=price&sr_pri_blocks=204441201_264422266_2_0_0__261600&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Studios de standing - Emeraude - Lille euralille,Lille Centre, 2618,30,2,Studio Apartment,1 double bed,8.5,Very good,205 reviews,700 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/grand-studio-residence-emeraude-lille-euralille.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=276286903_178046159_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=157&highlighted_blocks=276286903_178046159_2_0_0&hpos=7&no_rooms=1&sr_order=price&sr_pri_blocks=276286903_178046159_2_0_0__261800&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Pacific Lille Euralille,Lille Centre, 2618,30,2,Studio Apartment,1 double bed,8.2,Very good,192 reviews,700 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-pacific-lille-euralille.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=274781206_133875203_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=158&highlighted_blocks=274781206_133875203_2_0_0&hpos=8&no_rooms=1&sr_order=price&sr_pri_blocks=274781206_133875203_2_0_0__261800&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Kyriad Lille Centre Gares,Lille Centre, 2619,30,2,Double Room,1 double bed,7,Good,700 reviews,400 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/kyriad-lille-centre-gares.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=23595_250734529_2_2_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=159&highlighted_blocks=23595_250734529_2_2_0&hpos=9&no_rooms=1&sr_order=price&sr_pri_blocks=23595_250734529_2_2_0__261899&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Hyper centre chambre au calme,Lille Centre, 2662,30,2,Double Room,1 double bed,9.4,Superb,90 reviews,250 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/chambre-de-standing-grand-place-nouveau-siecle.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=233751401_278182195_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=160&highlighted_blocks=233751401_278182195_2_0_0&hpos=10&no_rooms=1&sr_order=price&sr_pri_blocks=233751401_278182195_2_0_0__266200&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Old Town Nice functional and cozy ap with terace for 5pers 2bdr,Vieux Lille, 2712,30,2,Apartment,"3 beds(1 single, 1 double, 1 sofa bed)",,,,1.3 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/vieux-lille-superbe-type-loft-terrasse.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641814402_265477911_5_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=161&highlighted_blocks=641814402_265477911_5_0_0&hpos=11&no_rooms=1&sr_order=price&sr_pri_blocks=641814402_265477911_5_0_0__271215&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Calm Apparthotel,Lille Centre, 2739,30,2,Standard Apartment double bed,1 double bed,8.2,Very good,731 reviews,450 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/calm-apparthotel.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=44286001_201348426_0_2_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=162&highlighted_blocks=44286001_201348426_0_2_0&hpos=12&no_rooms=1&sr_order=price&sr_pri_blocks=44286001_201348426_0_2_0__273900&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charmant appartement au coeur du Vieux Lille,Vieux Lille, 2745,30,2,Apartment with Terrace,"2 beds(1 sofa bed, 1 large double)",8.4,Very good,44 reviews,450 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charmant-appartement-au-coeur-du-vieux-lille.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=422869001_207457602_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=163&highlighted_blocks=422869001_207457602_2_0_0&hpos=13&no_rooms=1&sr_order=price&sr_pri_blocks=422869001_207457602_2_0_0__274540&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2750,30,2,Apartment,2 double beds,,,,350 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/superbe-appart-2-chambres-en-plein-centre.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641882302_265477931_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=164&highlighted_blocks=641882302_265477931_4_0_0&hpos=14&no_rooms=1&sr_order=price&sr_pri_blocks=641882302_265477931_4_0_0__274979&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Center of Lille - Nice 70m2 apartment 4pers 2bdr,Lille Centre, 2750,30,2,Apartment,2 double beds,,,,500 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/center-of-lille-nice-70m2-apartment-2rooms.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641516402_265481173_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=165&highlighted_blocks=641516402_265481173_4_0_0&hpos=15&no_rooms=1&sr_order=price&sr_pri_blocks=641516402_265481173_4_0_0__274979&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy ap for 4pers,Lille Centre, 2750,30,2,Apartment,2 double beds,,,,350 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-grand-place-superbe-appart-avec-cachet.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=641882502_265483263_4_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=166&highlighted_blocks=641882502_265483263_4_0_0&hpos=16&no_rooms=1&sr_order=price&sr_pri_blocks=641882502_265483263_4_0_0__274979&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Escale de 80 m2 avec cour et parking,Wazemmes, 2750,30,2,Two-Bedroom Apartment,2 large double beds,8.1,Very good,10 reviews,1.4 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/escale-de-80-m2-avec-cour-et-parking.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=597168502_253773753_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=167&highlighted_blocks=597168502_253773753_2_0_0&hpos=17&no_rooms=1&sr_order=price&sr_pri_blocks=597168502_253773753_2_0_0__275000&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le 84 Sainte-Cath',Vieux Lille, 2760,30,2,Studio Apartment,1 double bed,8.8,Fabulous,190 reviews,900 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-84.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=114241602_90535582_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=168&highlighted_blocks=114241602_90535582_2_0_0&hpos=18&no_rooms=1&sr_order=price&sr_pri_blocks=114241602_90535582_2_0_0__276000&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Apart AU STANDING - Ambiance Cosy - dans un immeuble de Prestige du 19éme siècle - terrasse au rdc - parking,Lille Centre, 2760,30,2,Superior Apartment,1 double bed,8.7,Fabulous,56 reviews,1.4 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-prestige-lille.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=444197902_133165831_2_2_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=169&highlighted_blocks=444197902_133165831_2_2_0&hpos=19&no_rooms=1&sr_order=price&sr_pri_blocks=444197902_133165831_2_2_0__276000&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Citadines City Centre Lille,Lille Centre, 2776,30,2,Studio,Beds: 1 double or 2 singles,8.3,Very good,"1,245 reviews",700 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/citadines-aparthotel-lille-centre.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=21857306_145441412_2_2_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=170&highlighted_blocks=21857306_145441412_2_2_0&hpos=20&no_rooms=1&sr_order=price&sr_pri_blocks=21857306_145441412_2_2_0__277600&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Residhotel Lille Vauban,Vauban, 2840,30,2,Studio (2 Adults),Beds: 1 double or 2 singles,8.4,Very good,"1,432 reviews",1.3 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/residhotel-lille-vauban.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=18029301_88532552_2_1_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=171&highlighted_blocks=18029301_88532552_2_1_0&hpos=21&no_rooms=1&sr_order=price&sr_pri_blocks=18029301_88532552_2_1_0__283999&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Homey house with garden close to the center of Lille Welkeys,Fives, 2892,30,2,Holiday Home,"4 beds(2 singles, 1 sofa bed, 1 large double)",,,,2.1 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/homey-house-with-garden-close-to-the-center-of-lille-welkeys.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=676431602_276231547_6_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=172&highlighted_blocks=676431602_276231547_6_0_0&hpos=22&no_rooms=1&sr_order=price&sr_pri_blocks=676431602_276231547_6_0_0__289200&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Le Madame Little Appart’Hotel,Vieux Lille, 2927,30,2,One-Bedroom Apartment,"2 beds(1 double, 1 sofa bed)",8.7,Fabulous,126 reviews,700 m,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/le-madame-little-appart.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=389057504_122191324_2_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=173&highlighted_blocks=389057504_122191324_2_0_0&hpos=23&no_rooms=1&sr_order=price&sr_pri_blocks=389057504_122191324_2_0_0__292740&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Charming and cosy house with terrace and garden in Lille-Sud - Welkeys,Lille Sud, 2928,30,2,Holiday Home,"3 beds(1 double, 1 extra-large double, 1 sofa bed)",8.3,Very good,4 reviews,2.8 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/charming-and-cosy-house-with-terrace-and-garden-in-lille-sud-welkeys.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=630899202_265504917_5_0_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=174&highlighted_blocks=630899202_265504917_5_0_0&hpos=24&no_rooms=1&sr_order=price&sr_pri_blocks=630899202_265504917_5_0_0__292815&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Moxy Lille City,Lille Centre, 2934,30,2,"Moxy Sleeper Twin, Guest room, 2 Twin/Single Bed(s)",2 single beds,9.4,Superb,5 reviews,1.1 km,Monday 1 March 2021,Wednesday 31 March 2021,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/moxy-lille-city-center-france.en-gb.html?aid=356980&sid=852dc58c61e7e7899a20e3a8f2652bfd&all_sr_blocks=604419203_237120447_0_2_0&checkin=2021-03-01&checkout=2021-03-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=175&highlighted_blocks=604419203_237120447_0_2_0&hpos=25&no_rooms=1&sr_order=price&sr_pri_blocks=604419203_237120447_0_2_0__293420&srepoch=1605067175&srpvid=71b21c13e5cc00b3&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
