name,location,total_price,Nbr_of_nights,Nbr_of_persons,room_type,beds,rating,rating_title,number_of_ratings,distance_from_centre,start_date,end_date,breakfast_inclusion,free_cancellation,url
Little Suite - Constance,Vieux Lille, 1410,30,2,Studio,1 double bed,9,Superb,4 reviews,700 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-constance.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=84338301_184376948_0_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=11&highlighted_blocks=84338301_184376948_0_0_0&hpos=11&no_rooms=1&sr_order=price&sr_pri_blocks=84338301_184376948_0_0_0__141000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Héloise,Vieux Lille, 1410,30,2,Apartment,1 double bed,8.2,Very good,4 reviews,400 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-heloise.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=168355201_195098297_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=12&highlighted_blocks=168355201_195098297_2_0_0&hpos=12&no_rooms=1&sr_order=price&sr_pri_blocks=168355201_195098297_2_0_0__141000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Cozy studio close to the central Lille,Lille Centre, 1412,30,2,Studio,1 double bed,,,,400 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/cozy-studio-close-to-the-central-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=470236502_265509589_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=13&highlighted_blocks=470236502_265509589_2_0_0&hpos=13&no_rooms=1&sr_order=price&sr_pri_blocks=470236502_265509589_2_0_0__141159&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy studio for 2pers,Wazemmes, 1463,30,2,Apartment,1 double bed,,,,1.6 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-center-beautiful-studio-equipped.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=641541002_265481251_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=14&highlighted_blocks=641541002_265481251_2_0_0&hpos=14&no_rooms=1&sr_order=price&sr_pri_blocks=641541002_265481251_2_0_0__146309&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Lille Centre - Nice and cozy studio for 2pers,Lille, 1463,30,2,Apartment,1 double bed,6.8,Review score,4 reviews,1.5 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/superbe-studio-tv-wifi-netflix-7min-gares.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=641796302_265481183_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=15&highlighted_blocks=641796302_265481183_2_0_0&hpos=15&no_rooms=1&sr_order=price&sr_pri_blocks=641796302_265481183_2_0_0__146309&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Lille Centre - Nice and cozy studio for 2pers,Lille, 1463,30,2,Apartment,1 double bed,,,,1.5 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/superbe-studio-tv-wifi-netflix-7min-gares-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=641801102_265481178_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=16&highlighted_blocks=641801102_265481178_2_0_0&hpos=16&no_rooms=1&sr_order=price&sr_pri_blocks=641801102_265481178_2_0_0__146309&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy studio for 2pers,Wazemmes, 1463,30,2,Studio,1 double bed,,,,1.5 km,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/lille-centre-superbe-studio-cozy-et-equipe-lille.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=641835102_265482549_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=17&highlighted_blocks=641835102_265482549_2_0_0&hpos=17&no_rooms=1&sr_order=price&sr_pri_blocks=641835102_265482549_2_0_0__146309&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
In the heart of Central Lille Nice functional and cozy studio for 2pers,Lille Centre, 1463,30,2,Apartment,1 double bed,,,,800 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/superbe-studio-a-3mn-grand-palais-lille-flandres.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=641805402_265477932_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=18&highlighted_blocks=641805402_265477932_2_0_0&hpos=18&no_rooms=1&sr_order=price&sr_pri_blocks=641805402_265477932_2_0_0__146309&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Come,Lille Centre, 1470,30,2,Apartment with Terrace,"2 beds(1 double, 1 sofa bed)",7.3,Good,4 reviews,350 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-come.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=248704801_103318986_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=19&highlighted_blocks=248704801_103318986_2_0_0&hpos=19&no_rooms=1&sr_order=price&sr_pri_blocks=248704801_103318986_2_0_0__147000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
Little Suite - Oscar,Vieux Lille, 1470,30,2,Studio Apartment,1 double bed,8.4,Very good,7 reviews,800 m,Tuesday 1 December 2020,Thursday 31 December 2020,Not Included,FREE cancellation,https://www.booking.com/hotel/fr/little-suite-oscar.en-gb.html?aid=356980&sid=30508674747c4bab3dcd871f39f4bc36&all_sr_blocks=123416801_206150532_2_0_0&checkin=2020-12-01&checkout=2020-12-31&dest_id=-1447079&dest_type=city&group_adults=2&group_children=0&hapos=20&highlighted_blocks=123416801_206150532_2_0_0&hpos=20&no_rooms=1&sr_order=price&sr_pri_blocks=123416801_206150532_2_0_0__147000&srepoch=1605067035&srpvid=32d01bcde8150029&ucfs=1&from=searchresultshighlight_room=#hotelTmpl
